ID,X,Y,Attribute 1,Attribute 2
79,428206,5093480,0.235751523,0
80,428423,5094640,0.354635726,1
81,428189,5094600,0.271653375,0
82,427920,5093200,0.706854968,0
83,428233,5093890,0.857551753,1
84,428411,5094570,0.925521976,1
85,428178,5094270,0.709486302,0
86,427765,5092750,0.036629556,0
87,427962,5092250,0.63450599,1
88,428512,5094930,0.183784605,1
89,427875,5092450,0.036363621,0
90,427966,5092840,0.362854204,1
91,428184,5094230,0.309991825,0
92,428348,5093590,0.444943556,0
93,428128,5093280,0.865984169,0
94,428455,5095180,0.204713872,1
95,428490,5095190,0.361001952,1
96,427770,5092530,0.085415359,1
97,427882,5092610,0.887845531,1
98,427834,5092170,0.08618385,0
99,428057,5093980,0.304498221,1
100,427929,5092810,0.291971685,1
101,428284,5094350,0.465787666,1
102,427726,5092490,0.600506931,0
103,428103,5093070,0.285770623,0
104,428223,5092850,0.103898551,0
105,427829,5092790,0.074403076,1
106,428259,5093550,0.451365947,0
107,427819,5092270,0.429941991,0
108,428660,5095150,0.683943057,0
109,428332,5094410,0.017388963,1
110,427742,5092430,0.375749495,0
111,428212,5094170,0.757264861,0
112,428320,5093690,0.118652459,0
113,428293,5094290,0.935781748,1
114,427754,5092670,0.985920567,1
115,427897,5092930,0.436375263,0
116,428219,5093480,0.337414083,0
117,428204,5093280,0.808280785,0
118,427874,5092630,0.843306152,0
119,428450,5094410,0.620673665,0
120,427762,5092250,0.756316466,0
121,428500,5094750,0.736907349,1
122,428180,5092660,0.17202395,0
123,428356,5093630,0.410266911,0
124,428203,5093520,0.367431546,0
125,428116,5093490,0.2880615,1
126,428151,5093530,0.479538754,0
127,428432,5094540,0.928017946,0
128,427998,5093250,0.557496875,0
129,428135,5093570,0.043511483,1
130,428645,5095030,0.587348164,0
131,428051,5092500,0.080821468,1
132,428194,5093050,0.017829814,0
133,428335,5094280,0.966808643,0
134,427746,5092440,0.689857323,1
135,427860,5092390,0.382715966,1
136,428201,5094530,0.181129289,0
137,427747,5092160,0.164260521,0
138,427798,5092760,0.369091475,1
139,428178,5093400,0.865204369,0
140,428225,5094120,0.098925507,1
141,428043,5092350,0.231740704,1
142,428563,5094800,0.528093537,1
143,428141,5094250,0.940225654,0
144,428020,5092680,0.64436814,1
145,428585,5094980,0.732840694,0
146,428507,5095160,0.609221332,1
147,427898,5092900,0.768386634,0
148,428387,5094310,0.976542605,1
149,427807,5092520,0.656589538,0
150,428354,5094840,0.565184351,0
151,428578,5095030,0.777403231,1
152,428569,5095100,0.529604697,0
153,427722,5092180,0.825757305,0
154,428155,5092860,0.41821557,0
155,428229,5093970,0.322843325,1
156,428493,5095060,0.723632581,1
157,428071,5092640,0.866728855,0
158,428304,5094690,0.069099871,1
159,428327,5094720,0.663469301,1
160,428363,5094930,0.042431714,1
161,428536,5095120,0.316930384,0
162,427877,5092980,0.778197223,0
163,428140,5092770,0.470803487,1
164,427753,5092300,0.463261758,0
165,427871,5093020,0.210865925,1
166,428375,5094960,0.084075907,1
167,427871,5092580,0.310189322,0
168,428179,5093660,0.319611024,1
169,427973,5092450,0.839709811,0
170,428288,5093740,0.00092445,0
171,428035,5092410,0.860358674,1
172,428432,5094520,0.280564267,1
173,427623,5092110,0.049359842,0
174,427754,5092200,0.648599192,0
175,428014,5092280,0.358704502,1
176,427965,5093100,0.699789786,1
177,428141,5094030,0.651904577,1
178,427981,5092530,0.732625583,0
179,428510,5095120,0.098419568,0
180,428177,5093890,0.843095138,1
181,428482,5094640,0.111476936,0
182,428363,5095110,0.88875736,1
183,428436,5095150,0.971798292,0
184,427710,5092010,0.52848581,1
185,428085,5092280,0.012116299,0
186,427700,5092300,0.233909215,1
187,428048,5092460,0.440715777,1
188,427994,5092780,0.840428985,1
189,428350,5095200,0.395044963,1
190,427722,5092570,0.528673441,1
191,428365,5094090,0.201651052,1
192,428347,5094680,0.527644045,1
193,428040,5092780,0.454318577,1
194,428178,5093240,0.473799303,0
195,428479,5094550,0.00252972,0
196,428290,5094170,0.57895095,0
197,428377,5094960,0.260468903,0
198,428197,5094330,0.197024057,1
199,428190,5092740,0.853901334,1
200,428411,5094990,0.878584137,1
201,427727,5092040,0.564921842,0
202,428267,5094690,0.203474497,1
203,427690,5092280,0.346783188,0
204,428494,5094810,0.102052239,1
205,428419,5094910,0.939488842,0
206,428370,5094920,0.319735104,0
207,428140,5093360,0.039546789,1
208,428199,5093750,0.373962436,0
209,428132,5092830,0.873810215,0
210,428181,5094170,0.365220882,0
211,428338,5094570,0.276086804,0
212,427990,5092560,0.699096256,0
213,427573,5092070,0.808361602,1
214,428337,5093840,0.776826265,1
215,428246,5093470,0.688277616,1
216,428358,5094670,0.337330259,1
217,427771,5092790,0.759839419,0
218,428198,5093330,0.759657274,1
219,427919,5093360,0.219911343,0
220,428058,5093170,0.831478329,1
221,427964,5092820,0.369985278,0
222,428303,5094960,0.951312997,1
223,428161,5093650,0.914271943,1
224,428198,5093360,0.664544416,0
225,428358,5095160,0.344716397,1
226,428299,5094970,0.114646106,1
227,427794,5092760,0.873642507,1
228,428101,5093320,0.023843596,0
229,427696,5092120,0.166849682,0
230,428156,5094200,0.049115442,1
231,428129,5093310,0.111379537,0
232,428058,5093520,0.386431893,0
233,428233,5094430,0.194560925,0
234,428222,5094140,0.955989425,1
235,427874,5092650,0.869554496,1
236,428334,5094210,0.38799273,1
237,428450,5094380,0.929418979,1
238,428135,5093210,0.033221213,1
239,428101,5092330,0.224479598,1
240,427767,5092450,0.040501738,1
241,428195,5093570,0.535576589,1
242,427889,5092390,0.276480533,1
243,428170,5093470,0.730553693,1
244,428062,5093330,0.171007802,0
245,427893,5092780,0.742764293,0
246,427861,5092470,0.847171042,0
247,428330,5094080,0.253117422,0
248,427793,5092250,0.519557535,1
249,427895,5092260,0.507796715,0
250,428031,5093290,0.592536184,0
251,428126,5093580,0.073273831,1
252,428019,5093690,0.560702513,0
253,427979,5093470,0.634239076,0
254,427823,5092390,0.872282676,1
255,427660,5092070,0.146725477,0
256,428254,5093350,0.067469138,1
257,428489,5094660,0.647819687,1
258,428332,5094190,0.147504317,1
259,427880,5092330,0.876469366,0
260,428551,5094940,0.612667425,0
261,428050,5092270,0.216208393,1
262,427956,5092760,0.307401357,1
263,427699,5092070,0.375665968,0
264,427850,5092370,0.190383977,1
265,427999,5092780,0.924637371,0
266,428330,5093470,0.530721016,0
267,428359,5093770,0.974297234,1
268,428355,5093850,0.579202367,1
269,428027,5092310,0.699488994,0
270,428102,5092470,0.296725105,1
271,428116,5093630,0.696485985,0
272,428105,5092650,0.768967652,1
273,428124,5093470,0.210175855,1
274,427967,5092480,0.917575911,1
275,428144,5092660,0.644699427,0
276,428254,5093320,0.356463278,0
277,428274,5093660,0.397198569,1
278,427759,5092020,0.500015178,1
279,427801,5092180,0.330972306,1
280,428171,5093090,0.243264651,1
281,428276,5094830,0.661133426,1
282,428078,5093370,0.997620301,0
283,428280,5094340,0.452787401,1
284,427981,5092940,0.520354325,1
285,428208,5092930,0.457501342,1
286,428104,5093410,0.010448288,0
287,428224,5094700,0.726248411,1
288,427857,5093050,0.163650307,0
289,428341,5093560,0.129132956,0
290,427795,5092160,0.614278703,0
291,428344,5093560,0.399811486,0
292,428080,5093900,0.693652088,0
293,428115,5092790,0.636863655,0
294,428480,5094650,0.660120916,0
295,428023,5093380,0.399085474,1
296,428103,5092870,0.139535824,1
297,428207,5093450,0.496396314,1
298,428327,5093590,0.515751442,1
299,427996,5093400,0.719295133,0
300,427971,5092170,0.680668629,0
301,428085,5093290,0.956202996,0
302,428089,5093440,0.135924165,1
303,427732,5092280,0.522049892,0
304,428323,5094380,0.415722563,0
305,428264,5093870,0.692045526,1
306,428506,5094850,0.045144066,1
307,428142,5094030,0.786537736,0
308,428175,5092710,0.605681074,0
309,427824,5092600,0.654389955,0
310,428137,5093910,0.382589105,0
311,427986,5092800,0.296084227,1
312,428130,5092480,0.307251869,1
313,428155,5093850,0.197576446,0
314,427740,5092620,0.553906428,0
315,428276,5094530,0.805101543,0
316,427886,5093090,0.166273256,0
317,428193,5093080,0.386764034,1
318,428235,5093410,0.174491734,1
319,428133,5092530,0.066270605,1
320,428118,5093530,0.656125791,1
321,427882,5092970,0.108774642,1
322,427904,5092840,0.250623081,1
323,428263,5093770,0.341865593,0
324,428002,5092830,0.42799974,0
325,428195,5093330,0.362923122,1
326,428156,5093370,0.002699117,0
327,428189,5094590,0.282310597,1
328,427936,5093350,0.572921393,1
329,428019,5092270,0.202149252,1
330,427868,5092100,0.499615654,1
331,428256,5094560,0.505388741,0
332,428527,5095080,0.142703822,1
333,428125,5092680,0.70483674,0
334,428078,5092370,0.787338499,0
335,428336,5094860,0.753898304,0
336,427966,5093300,0.658328653,0
337,428465,5094600,0.660497428,1
338,428217,5093610,0.837131483,0
339,427898,5092190,0.929036345,1
340,428196,5092770,0.008514951,1
341,428189,5092940,0.34440403,0
342,428312,5093810,0.018182376,0
343,428352,5094250,0.399111944,1
344,428493,5094910,0.682929731,0
345,428500,5094980,0.570702976,1
346,427975,5092320,0.91904886,1
347,427830,5092900,0.318293227,1
348,428154,5093590,0.308250287,1
349,427842,5092780,0.831613848,1
350,427795,5092300,0.378721715,0
351,427924,5092140,0.240284451,1
352,428179,5092730,0.794847256,0
353,428341,5094190,0.995798422,0
354,427870,5092330,0.329773909,1
355,428285,5094820,0.680648792,1
356,427573,5092070,0.398077778,0
357,427921,5093000,0.459010514,0
358,427824,5092270,0.078970072,1
359,428185,5093610,0.547941929,1
360,428227,5094420,0.133929163,1
361,427932,5092400,0.949080306,0
362,428030,5093580,0.262685504,1
363,427921,5092610,0.047992942,0
364,428496,5094740,0.043592649,1
365,428423,5095020,0.918707934,1
366,427915,5092740,0.868015231,0
367,428324,5094520,0.169850239,1
368,428208,5093410,0.560098442,1
369,428226,5094260,0.764575604,1
370,428260,5094540,0.582130072,1
371,428468,5094780,0.329236702,0
372,428239,5093290,0.757697389,1
373,428577,5094940,0.687038659,0
374,427679,5091980,0.14421292,0
375,428164,5094170,0.207363929,0
376,428513,5094950,0.810508659,1
377,428371,5094410,0.788242783,1
378,428527,5094800,0.392651699,1
379,427792,5092420,0.926899996,0
380,428450,5094750,0.137434426,0
381,427788,5092520,0.26464105,0
382,427996,5093430,0.587247088,0
383,428268,5094430,0.599014765,1
384,428238,5093370,0.511809492,0
385,428192,5092920,0.527582126,1
386,428174,5093180,0.79896943,1
387,428476,5094780,0.025863258,0
388,427885,5092360,0.101323768,0
389,428165,5092640,0.955235024,1
390,427981,5092420,0.749739699,0
391,428075,5092860,0.377029105,1
392,428469,5094770,0.898696694,1
393,428055,5092750,0.009317142,1
394,427631,5092190,0.083347554,0
395,428295,5093810,0.016219042,1
396,428271,5094760,0.369456479,1
397,428148,5093920,0.222700744,0
398,428163,5093030,0.46885228,1
399,427971,5093110,0.123236586,0
400,428307,5094800,0.193422648,1
401,427769,5092290,0.480351406,0
402,428426,5094350,0.304282315,0
403,428392,5094380,0.363536885,0
404,428439,5095060,0.261995728,1
405,427991,5093690,0.472893661,1
406,428286,5094500,0.030281451,0
407,428307,5094250,0.713350844,0
408,428193,5093980,0.574131854,1
409,428415,5095100,0.880321317,1
410,427866,5092750,0.582424556,1
411,428319,5094150,0.042396238,1
412,428174,5092780,0.440626624,0
413,428305,5094700,0.568993589,0
414,428259,5093680,0.404359436,1
415,428408,5094560,0.293138933,1
416,428366,5094760,0.786878573,1
417,427840,5092160,0.314925583,1
418,428289,5094260,0.168477015,0
419,428222,5092710,0.679035217,1
420,428419,5095070,0.806196422,1
421,428447,5095100,0.87438358,1
422,428018,5092880,0.851052475,0
423,428049,5093320,0.513367398,0
424,428065,5092540,0.43937644,0
425,428197,5093060,0.618895585,1
426,428365,5094520,0.319503734,0
427,428326,5094630,0.094381326,1
428,428125,5093710,0.453019336,1
429,428008,5092260,0.580847067,1
430,427896,5092690,0.84808231,0
431,428304,5093850,0.816829583,1
432,428240,5093930,0.084063177,0
433,428439,5094680,0.694005218,1
434,428142,5094220,0.595872054,0
435,427917,5092320,0.921749446,0
436,427854,5092520,0.081461086,1
437,427865,5092660,0.374512404,0
438,427872,5093100,0.269683526,1
439,428228,5093420,0.07427327,0
440,427877,5092790,0.148249125,1
441,428505,5094560,0.522783606,1
442,428221,5093040,0.06996802,0
443,428359,5093540,0.890231418,0
444,427960,5093320,0.086853075,1
445,428225,5093730,0.2320838,1
446,427974,5092860,0.290961017,1
447,427688,5092210,0.567471069,0
448,428485,5094710,0.188268242,0
449,427889,5092780,0.584964037,1
450,427993,5092400,0.869772528,1
451,427865,5092480,0.128065021,0
452,428434,5095190,0.84906057,1
453,428047,5092980,0.33273362,0
454,428010,5093750,0.515988945,0
455,428438,5094700,0.82019495,0
456,428351,5094150,0.530856385,1
457,427892,5092290,0.99531417,0
458,428164,5094480,0.346224966,0
459,428116,5093130,0.719301876,1
460,428512,5094530,0.008906819,1
461,428119,5093340,0.061107159,0
462,428230,5094180,0.81966766,1
463,428221,5093100,0.88057535,0
464,428353,5093760,0.68110998,0
465,427932,5092940,0.268060745,0
466,427898,5092820,0.056992195,0
467,428155,5092930,0.003623971,0
468,428328,5094540,0.556922833,1
469,427953,5092960,0.815568366,1
470,427963,5092240,0.105480495,0
471,427909,5093160,0.176341497,1
472,427921,5092740,0.054564628,1
473,427636,5092030,0.921624939,1
474,428475,5094440,0.153706737,0
475,428087,5093040,0.540052973,1
476,427935,5093030,0.65155375,0
477,428003,5092980,0.31157847,0
478,428325,5095140,0.914696863,1
479,428031,5093530,0.501570342,0
480,427824,5092220,0.886571939,0
481,427947,5093460,0.432495437,1
482,427957,5093100,0.463655777,0
483,428485,5095070,0.555468163,1
484,428138,5094200,0.144506609,1
485,428329,5093950,0.516588525,0
486,427996,5092760,0.569764874,0
487,428226,5093810,0.294702397,1
488,427899,5093260,0.62752872,1
489,428294,5093670,0.081470674,0
490,428516,5094780,0.273852622,1
491,428190,5093470,0.027614001,1
492,427717,5092380,0.080469792,1
493,428216,5093630,0.263442049,1
494,427916,5093050,0.142865758,1
495,428396,5094570,0.596541259,1
496,428205,5092960,0.950378168,0
497,428037,5093900,0.085583504,1
498,427784,5092210,0.825132047,0
499,427580,5092070,0.277454638,1
500,428198,5093420,0.201896818,1
501,428093,5093970,0.663426973,1
502,428144,5092630,0.950983852,1
503,428421,5094510,0.158040103,0
504,428240,5093780,0.640851131,1
505,428455,5095020,0.063767288,0
506,427718,5092310,0.692257301,0
507,428265,5093580,0.542816916,1
508,428004,5092960,0.032513816,0
509,428071,5092840,0.237674697,0
510,427916,5092350,0.186691569,1
511,427984,5092680,0.122690668,1
512,428086,5092310,0.981282384,0
513,428428,5094790,0.061613676,1
514,428129,5093440,0.748315347,0
515,427850,5092680,0.844005912,1
516,427960,5092700,0.276657685,1
517,427932,5092440,0.927508659,0
518,428188,5093840,0.95862365,1
519,427853,5092860,0.790029272,0
520,428201,5094550,0.617291589,0
521,427789,5092790,0.765893551,0
522,428141,5094130,0.713012873,0
523,427684,5092400,0.813845344,0
524,427892,5093220,0.261354055,1
525,427945,5093000,0.803238334,1
526,427878,5092120,0.908090196,0
527,428392,5095170,0.350365486,0
528,428001,5092930,0.565036701,0
529,428121,5094190,0.183732457,0
530,428300,5093520,0.697252891,1
531,428353,5093640,0.192724853,0
532,427880,5092490,0.121494446,0
533,428116,5093050,0.342090416,0
534,427951,5092530,0.915497602,1
535,427652,5092040,0.867717515,1
536,427886,5092110,0.650312894,1
537,427890,5092670,0.683444284,1
538,428239,5093370,0.891744418,1
539,428385,5095020,0.220535018,1
540,427824,5092210,0.519019848,0
541,428411,5095170,0.397927658,0
542,428346,5094580,0.340775099,0
543,428250,5093410,0.07269041,0
544,428339,5094400,0.593475221,0
545,428243,5093620,0.734226171,0
546,428017,5092580,0.544616542,0
547,427591,5091960,0.379221099,0
548,428213,5093460,0.929543894,0
549,428242,5093670,0.423755407,0
550,428307,5093700,0.44910873,0
551,428435,5094450,0.1230084,1
552,428095,5093430,0.328963254,1
553,428500,5094550,0.620022065,1
554,428070,5093390,0.468410187,0
555,427926,5093240,0.799352911,0
556,428323,5094830,0.346446364,0
557,427961,5092600,0.546939318,1
558,427813,5092810,0.644577132,0
559,428316,5094210,0.815010332,1
560,428613,5094990,0.799856818,0
561,428082,5092730,0.453790678,1
562,428208,5092910,0.572018149,1
563,428062,5093840,0.130917459,1
564,428357,5094120,0.855832264,0
565,428047,5092550,0.635734175,0
566,428459,5095120,0.952562306,1
567,427656,5092030,0.638525975,0
568,428025,5092500,0.298279727,1
569,428063,5092430,0.50620082,0
570,428554,5095100,0.700503108,1
571,428387,5094780,0.247489287,0
572,427918,5092780,0.715111562,0
573,428256,5094580,0.860941809,1
574,428244,5093790,0.424149624,0
575,428006,5093750,0.494511243,1
576,428358,5094100,0.270104024,0
577,428378,5093980,0.53886575,1
578,427676,5092420,0.851264399,0
579,428535,5094910,0.92750793,1
580,428038,5092650,0.358113006,0
581,427954,5092410,0.028068655,0
582,428132,5093730,0.354489256,1
583,428475,5094500,0.108203691,0
584,427997,5093230,0.634487454,1
585,428241,5093680,0.482046875,1
586,428292,5093670,0.387294242,0
587,427922,5093000,0.746363237,1
588,428167,5094390,0.589496835,0
589,428014,5093180,0.209772237,0
590,428363,5094610,0.135392691,1
591,428096,5093000,0.27065422,0
592,427802,5092440,0.31854763,1
593,428169,5092880,0.28991711,1
594,428072,5092260,0.37094627,1
595,428152,5093580,0.31778775,0
596,428067,5092280,0.280832227,0
597,428207,5093190,0.094912323,1
598,428465,5095130,0.912133121,0
599,428643,5094970,0.651161467,0
600,427687,5092050,0.554950851,0
601,428080,5092580,0.943862356,0
602,428201,5092820,0.247304984,1
603,428447,5094870,0.300602048,0
604,428215,5092760,0.690906032,1
605,428168,5093940,0.138215997,1
606,427992,5092280,0.368971273,0
607,428078,5092340,0.572166522,0
608,428522,5094920,0.083909914,0
609,428007,5093620,0.023792128,0
610,427876,5092450,0.523770732,1
611,427998,5093550,0.08172028,1
612,428449,5094990,0.551795281,1
613,427921,5092210,0.829973348,1
614,428356,5093610,0.163801843,1
615,428377,5095110,0.477570567,0
616,427929,5092560,0.514494441,1
617,428520,5094610,0.964861085,1
618,427818,5092940,0.142194885,1
619,427934,5093250,0.83824431,0
620,428132,5093700,0.57690438,0
621,427692,5091990,0.685717619,1
622,428336,5094830,0.385516719,0
623,428143,5093120,0.216286203,0
624,428096,5093300,0.384756295,0
625,428148,5093920,0.485004148,0
626,427962,5092630,0.900230435,1
627,428293,5093480,0.51966774,0
628,427918,5093110,0.886421098,1
629,428071,5092560,0.14926101,0
630,427718,5092200,0.839634541,1
631,427872,5093110,0.621617615,1
632,427950,5093190,0.749865584,1
633,428437,5094760,0.935470583,0
634,428296,5094680,0.100272429,0
635,428188,5092780,0.923411575,0
636,427785,5092040,0.760625971,0
637,428189,5093440,0.755593724,1
638,428015,5093030,0.163476675,0
639,428114,5093020,0.090289331,0
640,428055,5093470,0.192654224,1
641,428493,5094460,0.602355191,0
642,428229,5094210,0.601080336,1
643,428397,5094730,0.853666181,0
644,427820,5092110,0.031578283,1
645,428047,5092510,0.47352701,1
646,427823,5092450,0.892885822,0
647,428137,5092760,0.494177737,0
648,427844,5092990,0.87537456,1
649,428556,5094830,0.539923481,0
650,427846,5092690,0.251929564,0
651,428290,5094080,0.367997427,0
652,428439,5094940,0.673154528,0
653,428233,5094080,0.64044461,1
654,428474,5094950,0.616250622,0
655,428179,5092600,0.581590866,1
656,428160,5093290,0.285928459,0
657,428315,5094740,0.28444249,0
658,428317,5093750,0.552999999,0
659,428189,5092820,0.816962767,0
660,428009,5092560,0.594832859,1
661,428002,5093230,0.904936941,1
662,428171,5093330,0.762171031,0
663,428475,5095160,0.631080298,1
664,428332,5094520,0.106603617,1
665,428310,5095100,0.511383359,0
666,428181,5093410,0.201067642,0
667,427853,5092520,0.384793894,0
668,428262,5093850,0.327177998,0
669,428004,5092230,0.647021279,1
670,427843,5092770,0.3143571,0
671,428078,5093660,0.015563426,0
672,427721,5092460,0.134322524,0
673,428248,5093860,0.037510472,1
674,428157,5092880,0.359947294,1
675,428395,5095180,0.547179711,1
676,428175,5093380,0.086158495,0
677,427695,5092090,0.162873813,0
678,428026,5093400,0.553999989,0
679,427917,5092820,0.343199204,0
680,428432,5095110,0.847149963,0
681,428181,5093320,0.134248897,0
682,428331,5094400,0.025657157,1
683,428361,5094550,0.553200272,1
684,427983,5092700,0.904568888,1
685,428179,5092770,0.280596395,0
686,428396,5095060,0.020393226,1
687,428380,5094830,0.565614236,0
688,428212,5093270,0.050185421,0
689,428344,5095040,0.34314305,0
690,427756,5092250,0.873428933,1
691,427831,5092970,0.358484117,0
692,428308,5094940,0.191280022,1
693,427764,5092200,0.198806584,0
694,428079,5092540,0.896397265,1
695,427838,5092740,0.020072365,1
696,428089,5093680,0.160672813,0
697,428485,5095000,0.058039501,1
698,427853,5092830,0.476332293,1
699,428167,5092580,0.915235965,1
700,428332,5094470,0.584982549,0
701,427595,5091980,0.821370003,1
702,428173,5093340,0.257104018,1
703,427632,5092040,0.892638158,0
704,427901,5092140,0.642936096,1
705,428042,5093830,0.775143279,1
706,428010,5093080,0.327512927,0
707,428164,5093510,0.27127782,1
708,428155,5092990,0.362743082,1
709,428482,5094890,0.022652435,1
710,427908,5092730,0.316373443,1
711,427940,5093370,0.213019434,0
712,428209,5094350,0.223556938,1
713,427970,5093550,0.371530716,0
714,428562,5094800,0.637794199,1
715,427903,5092620,0.307683454,1
716,428467,5094750,0.513904257,0
717,427618,5092090,0.799994348,0
718,428040,5092860,0.253322371,1
719,428322,5094050,0.126313448,1
720,428101,5093440,0.022613968,0
721,427767,5092050,0.83738823,0
722,428364,5093570,0.91941832,1
723,427940,5093150,0.129029251,0
724,428194,5093730,0.513330791,1
725,427691,5092220,0.295112359,0
726,427862,5092220,0.837578727,1
727,428068,5093560,0.140970225,1
728,427903,5092750,0.937886641,1
729,428041,5092330,0.50698891,0
730,428184,5094330,0.445229003,0
731,428051,5093360,0.119440593,1
732,427780,5092250,0.507679028,1
733,428271,5094610,0.879280004,0
734,427942,5093280,0.998375508,0
735,428477,5094580,0.419141935,1
736,428150,5093420,0.847269962,1
737,428519,5094880,0.92042202,0
738,428100,5092530,0.993457091,1
739,428328,5093620,0.156775764,1
740,428070,5093980,0.751086713,0
741,427958,5092260,0.961962499,1
742,428268,5093570,0.67138717,1
743,427851,5092690,0.042764609,1
744,428187,5093840,0.452300648,0
745,428254,5094460,0.867434043,0
746,428403,5094810,0.363896949,1
747,428339,5094740,0.128364728,1
748,428256,5093930,0.289441122,0
749,427604,5092040,0.018743877,1
750,428010,5092450,0.545069655,0
751,428368,5095030,0.683777266,0
752,428136,5094170,0.389205626,1
753,428070,5093450,0.932412576,0
754,427657,5092240,0.257226945,1
755,428016,5092330,0.755934383,0
756,428198,5092910,0.452436348,0
757,428339,5094050,0.617104379,1
758,427701,5092320,0.843700441,1
759,428164,5094400,0.219869538,1
760,427660,5092210,0.340364728,1
761,428421,5095200,0.398309466,1
762,427655,5092080,0.732211064,0
763,427802,5092330,0.893861836,0
764,428148,5093090,0.546642593,1
765,428287,5093580,0.647577639,1
766,427966,5092840,0.439310592,0
767,427876,5092890,0.595161052,1
768,428558,5094930,0.004215943,1
769,428093,5092650,0.191790889,1
770,428139,5093760,0.144402033,0
771,428493,5094460,0.1601727,1
772,428107,5093070,0.174429486,0
773,428091,5092820,0.982249923,1
774,428206,5093780,0.443409117,0
775,428527,5094640,0.914421009,1
776,427974,5093610,0.992960767,0
777,428347,5095140,0.668265943,0
778,427949,5092630,0.258854913,0
779,428650,5095070,0.957693893,0
780,428258,5094520,0.061340831,0
781,428073,5093560,0.840950327,0
782,427819,5092870,0.611881664,1
783,428431,5094320,0.055441144,1
784,427928,5093230,0.591558324,0
785,428032,5092830,0.633652441,1
786,427901,5092420,0.453902853,1
787,428636,5095150,0.532227843,1
788,428124,5092730,0.504328843,1
789,428598,5094950,0.435683526,1
790,427778,5092220,0.306053126,0
791,428044,5093340,0.880056494,0
792,428190,5094350,0.072327587,0
793,427847,5093030,0.966006976,0
794,428157,5093520,0.046604298,0
795,428229,5093820,0.362286678,0
796,428339,5094200,0.356436237,0
797,428230,5094130,0.718463733,1
798,428105,5092530,0.222353122,0
799,427796,5092510,0.719989519,1
800,428552,5094760,0.432126235,1
801,428241,5094290,0.003516143,1
802,428089,5093930,0.166359492,1
803,428218,5094570,0.568673104,1
804,427943,5092760,0.176341725,0
805,428281,5094600,0.070845824,0
806,428134,5094350,0.798595844,1
807,428112,5094260,0.787868883,1
808,428284,5094770,0.836637254,1
809,427968,5093000,0.530864803,0
810,427902,5092560,0.617599661,0
811,428401,5094270,0.044231346,1
812,428481,5094800,0.736260403,1
813,428550,5094840,0.379313218,1
814,428073,5093380,0.445802314,1
815,427634,5091980,0.459616822,1
816,428464,5095070,0.614866861,1
817,428274,5094830,0.3012958,0
818,427749,5092330,0.954398379,0
819,428354,5093640,0.89302411,0
